"Unit id","Variation id","Unit name","Variation Product code","Dealer price","Retail price percentage","Variation price deff"
"141","0","D-Tray Corner Unit 1000X810X630","-","135","0","0"
"141","302","D-Tray Corner Unit 1000X810X630","Beth combi 8806741","35","0","15"
"141","303","D-Tray Corner Unit 1000X810X630","Beth combi 8806741","35","0","12"
